Matrix Index	Metabolite#	MetaboliteID	Reaction#	ReactionID	Stoichiometry
1	1	M_12dgr180_e	1	R_12DGR180ti	-1
2	2	M_12dgr180_c	1	R_12DGR180ti	1
3	3	M_3hppnl_c	2	R_13PPDHr	-1
4	3	M_3hppnl_c	1368	R_13PPDHr_reverse	1
5	4	M_h_c	2	R_13PPDHr	-1
6	4	M_h_c	1368	R_13PPDHr_reverse	1
7	5	M_nadh_c	2	R_13PPDHr	-1
8	5	M_nadh_c	1368	R_13PPDHr_reverse	1
9	6	M_13ppd_c	2	R_13PPDHr	1
10	6	M_13ppd_c	1368	R_13PPDHr_reverse	-1
11	7	M_nad_c	2	R_13PPDHr	1
12	7	M_nad_c	1368	R_13PPDHr_reverse	-1
13	8	M_13ppd_e	3	R_13PPDt	-1
14	8	M_13ppd_e	1369	R_13PPDt_reverse	1
15	6	M_13ppd_c	3	R_13PPDt	1
16	6	M_13ppd_c	1369	R_13PPDt_reverse	-1
17	9	M_23dhmp_c	4	R_23DHMPO	-1
18	9	M_23dhmp_c	1370	R_23DHMPO_reverse	1
19	10	M_nadp_c	4	R_23DHMPO	-1
20	10	M_nadp_c	1370	R_23DHMPO_reverse	1
21	4	M_h_c	4	R_23DHMPO	1
22	4	M_h_c	1370	R_23DHMPO_reverse	-1
23	11	M_3h3mop_c	4	R_23DHMPO	1
24	11	M_3h3mop_c	1370	R_23DHMPO_reverse	-1
25	12	M_nadph_c	4	R_23DHMPO	1
26	12	M_nadph_c	1370	R_23DHMPO_reverse	-1
27	13	M_h2o_c	5	R_23PDE2	-1
28	14	M_23cump_c	5	R_23PDE2	-1
29	4	M_h_c	5	R_23PDE2	1
30	15	M_3ump_c	5	R_23PDE2	1
31	13	M_h2o_c	6	R_23PDE4	-1
32	16	M_23ccmp_c	6	R_23PDE4	-1
33	4	M_h_c	6	R_23PDE4	1
34	17	M_3cmp_c	6	R_23PDE4	1
35	13	M_h2o_c	7	R_23PDE7	-1
36	18	M_23camp_c	7	R_23PDE7	-1
37	4	M_h_c	7	R_23PDE7	1
38	19	M_3amp_c	7	R_23PDE7	1
39	13	M_h2o_c	8	R_23PDE9	-1
40	20	M_23cgmp_c	8	R_23PDE9	-1
41	4	M_h_c	8	R_23PDE9	1
