Matrix Index	Metabolite#	MetaboliteID	Reaction#	ReactionID	Stoichiometry
1	1	M_23dhmp_c	1	R_23DHMPO	-1
2	1	M_23dhmp_c	1070	R_23DHMPO_reverse	1
3	2	M_nadp_c	1	R_23DHMPO	-1
4	2	M_nadp_c	1070	R_23DHMPO_reverse	1
5	3	M_3h3mop_c	1	R_23DHMPO	1
6	3	M_3h3mop_c	1070	R_23DHMPO_reverse	-1
7	4	M_h_c	1	R_23DHMPO	1
8	4	M_h_c	1070	R_23DHMPO_reverse	-1
9	5	M_nadph_c	1	R_23DHMPO	1
10	5	M_nadph_c	1070	R_23DHMPO_reverse	-1
11	6	M_akg_c	2	R_26DAPLLAT	-1
12	6	M_akg_c	1071	R_26DAPLLAT_reverse	1
13	7	M_26dap_LL_c	2	R_26DAPLLAT	-1
14	7	M_26dap_LL_c	1071	R_26DAPLLAT_reverse	1
15	4	M_h_c	2	R_26DAPLLAT	1
16	4	M_h_c	1071	R_26DAPLLAT_reverse	-1
17	8	M_h2o_c	2	R_26DAPLLAT	1
18	8	M_h2o_c	1071	R_26DAPLLAT_reverse	-1
19	9	M_glu_L_c	2	R_26DAPLLAT	1
20	9	M_glu_L_c	1071	R_26DAPLLAT_reverse	-1
21	10	M_thdp_c	2	R_26DAPLLAT	1
22	10	M_thdp_c	1071	R_26DAPLLAT_reverse	-1
23	11	M_2ahbut_c	3	R_2AHBUTI	-1
24	11	M_2ahbut_c	1072	R_2AHBUTI_reverse	1
25	3	M_3h3mop_c	3	R_2AHBUTI	1
26	3	M_3h3mop_c	1072	R_2AHBUTI_reverse	-1
27	12	M_2mbcoa_c	4	R_2MBCOATA	-1
28	12	M_2mbcoa_c	1073	R_2MBCOATA_reverse	1
29	13	M_ACP_c	4	R_2MBCOATA	-1
30	13	M_ACP_c	1073	R_2MBCOATA_reverse	1
31	14	M_coa_c	4	R_2MBCOATA	1
32	14	M_coa_c	1073	R_2MBCOATA_reverse	-1
33	15	M_2mbutACP_c	4	R_2MBCOATA	1
34	15	M_2mbutACP_c	1073	R_2MBCOATA_reverse	-1
35	16	M_10m3hddcaACP_c	5	R_3HAD10M12	-1
36	8	M_h2o_c	5	R_3HAD10M12	1
37	17	M_10mtddec2eACP_c	5	R_3HAD10M12	1
38	18	M_11m3hddcaACP_c	6	R_3HAD11M12	-1
39	8	M_h2o_c	6	R_3HAD11M12	1
40	19	M_11mtddec2eACP_c	6	R_3HAD11M12	1
41	20	M_12m3hmyrsACP_c	7	R_3HAD12M14	-1
42	8	M_h2o_c	7	R_3HAD12M14	1
43	21	M_12mtmrs2eACP_c	7	R_3HAD12M14	1
44	22	M_13m3hmyrsACP_c	8	R_3HAD13M14	-1
45	8	M_h2o_c	8	R_3HAD13M14	1
46	23	M_13mtmrs2eACP_c	8	R_3HAD13M14	1
47	24	M_14m3hpalmACP_c	9	R_3HAD14M16	-1
48	8	M_h2o_c	9	R_3HAD14M16	1
49	25	M_14mtpalm2eACP_c	9	R_3HAD14M16	1
50	26	M_15m3hpalmACP_c	10	R_3HAD15M16	-1
51	8	M_h2o_c	10	R_3HAD15M16	1
52	27	M_15mtpalm2eACP_c	10	R_3HAD15M16	1
53	28	M_4m3hhexACP_c	11	R_3HAD4M6	-1
54	8	M_h2o_c	11	R_3HAD4M6	1
55	29	M_4mthex2eACP_c	11	R_3HAD4M6	1
56	30	M_5m3hhexACP_c	12	R_3HAD5M6	-1
57	8	M_h2o_c	12	R_3HAD5M6	1
58	31	M_5mthex2eACP_c	12	R_3HAD5M6	1
59	32	M_6m3hocACP_c	13	R_3HAD6M8	-1
60	8	M_h2o_c	13	R_3HAD6M8	1
61	33	M_6mtoct2eACP_c	13	R_3HAD6M8	1
62	34	M_7m3hocACP_c	14	R_3HAD7M8	-1
63	8	M_h2o_c	14	R_3HAD7M8	1
64	35	M_7mtoct2eACP_c	14	R_3HAD7M8	1
65	36	M_8m3hdcaACP_c	15	R_3HAD8M10	-1
66	8	M_h2o_c	15	R_3HAD8M10	1
67	37	M_8mtdec2eACP_c	15	R_3HAD8M10	1
68	38	M_9m3hdcaACP_c	16	R_3HAD9M10	-1
69	8	M_h2o_c	16	R_3HAD9M10	1
70	39	M_9mtdec2eACP_c	16	R_3HAD9M10	1
71	4	M_h_c	17	R_3MOBS	-1
72	4	M_h_c	1074	R_3MOBS_reverse	1
73	14	M_coa_c	17	R_3MOBS	-1
74	14	M_coa_c	1074	R_3MOBS_reverse	1
75	40	M_3c3hmp_c	17	R_3MOBS	-1
76	40	M_3c3hmp_c	1074	R_3MOBS_reverse	1
77	8	M_h2o_c	17	R_3MOBS	1
78	8	M_h2o_c	1074	R_3MOBS_reverse	-1
79	41	M_accoa_c	17	R_3MOBS	1
80	41	M_accoa_c	1074	R_3MOBS_reverse	-1
81	42	M_3mob_c	17	R_3MOBS	1
82	42	M_3mob_c	1074	R_3MOBS_reverse	-1
83	4	M_h_c	18	R_3OAR100	-1
84	4	M_h_c	1075	R_3OAR100_reverse	1
85	5	M_nadph_c	18	R_3OAR100	-1
86	5	M_nadph_c	1075	R_3OAR100_reverse	1
87	43	M_3odecACP_c	18	R_3OAR100	-1
88	43	M_3odecACP_c	1075	R_3OAR100_reverse	1
89	2	M_nadp_c	18	R_3OAR100	1
90	2	M_nadp_c	1075	R_3OAR100_reverse	-1
91	44	M_3hdecACP_c	18	R_3OAR100	1
92	44	M_3hdecACP_c	1075	R_3OAR100_reverse	-1
93	4	M_h_c	19	R_3OAR10M11	-1
94	4	M_h_c	1076	R_3OAR10M11_reverse	1
95	5	M_nadph_c	19	R_3OAR10M11	-1
96	5	M_nadph_c	1076	R_3OAR10M11_reverse	1
97	45	M_10m3oundecACP_c	19	R_3OAR10M11	-1
98	45	M_10m3oundecACP_c	1076	R_3OAR10M11_reverse	1
99	2	M_nadp_c	19	R_3OAR10M11	1
100	2	M_nadp_c	1076	R_3OAR10M11_reverse	-1
101	46	M_10m3hundecACP_c	19	R_3OAR10M11	1
102	46	M_10m3hundecACP_c	1076	R_3OAR10M11_reverse	-1
103	4	M_h_c	20	R_3OAR10M12	-1
104	4	M_h_c	1077	R_3OAR10M12_reverse	1
105	5	M_nadph_c	20	R_3OAR10M12	-1
